Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,137.2100067138672,137.8300018310547,136.67999267578125,137.33999633789062,136.59449768066406,1287400
2021-04-27,136.92999267578125,137.44000244140625,136.22999572753906,136.47999572753906,135.73916625976562,1752900
2021-04-28,136.0,136.50999450683594,134.7100067138672,134.8000030517578,134.0682830810547,1603900
2021-04-29,135.41000366210938,135.41000366210938,133.5399932861328,134.14999389648438,133.42181396484375,2135900
2021-04-30,133.89999389648438,134.66000366210938,133.14999389648438,133.63999938964844,132.91458129882812,1514200
2021-05-03,134.2899932861328,134.30999755859375,132.61000061035156,133.19000244140625,132.46702575683594,1032000
2021-05-04,132.1199951171875,132.50999450683594,130.35000610351562,130.89999389648438,130.189453125,1752400
2021-05-05,132.08999633789062,134.08999633789062,131.25,133.3699951171875,132.6460418701172,1430600
2021-05-06,132.30999755859375,132.60000610351562,130.77000427246094,132.39999389648438,131.68130493164062,1150400
2021-05-07,133.19000244140625,134.82000732421875,133.19000244140625,133.89999389648438,133.17315673828125,1044200
2021-05-10,133.75999450683594,133.92999267578125,131.75999450683594,131.8699951171875,131.1541748046875,1034300
2021-05-11,130.27000427246094,131.83999633789062,129.3000030517578,131.4199981689453,130.7066192626953,1336600
2021-05-12,130.33999633789062,131.1699981689453,128.47000122070312,128.63999938964844,127.94172668457031,1256400
2021-05-13,129.61000061035156,130.75999450683594,129.25999450683594,130.02000427246094,129.31423950195312,805900
2021-05-14,130.47000122070312,131.69000244140625,130.4499969482422,131.14999389648438,130.43807983398438,775100
2021-05-17,130.83999633789062,131.0500030517578,129.91000366210938,130.11000061035156,129.4037322998047,886700
2021-05-18,129.9499969482422,129.9499969482422,128.67999267578125,128.75,128.05111694335938,1777600
2021-05-19,127.5999984741211,130.27999877929688,127.12999725341797,130.2100067138672,129.50318908691406,1119400
2021-05-20,130.61000061035156,132.7899932861328,130.61000061035156,132.14999389648438,131.4326629638672,1035100
2021-05-21,132.6699981689453,134.1300048828125,132.22000122070312,132.3000030517578,131.58184814453125,1445900
2021-05-24,133.50999450683594,134.41000366210938,132.52999877929688,133.33999633789062,132.6162109375,1312300
